FOOD_CODE|Nutrient/Ingridient|Value (per 100gr)|Name|Group|Type
AP009|Lemak (Fat)|0.5 g|Corn rice|Cereals|Processed/Products
AP009|Karbohidrat (CHO)|79.5 g|Corn rice|Cereals|Processed/Products
AP009|Serat (Fibre)|6.2 g|Corn rice|Cereals|Processed/Products
AP009|Abu (ASH)|0.3 g|Corn rice|Cereals|Processed/Products
AP009|Kalsium (Ca)|5 mg|Corn rice|Cereals|Processed/Products
AP009|Fosfor (P)|43 mg|Corn rice|Cereals|Processed/Products
AP009|Besi (Fe)|0.6 mg|Corn rice|Cereals|Processed/Products
AP009|Natrium (Na)|2 mg|Corn rice|Cereals|Processed/Products
AP009|Kalium (K)|30.4 mg|Corn rice|Cereals|Processed/Products
AP009|Tembaga (Cu)|0.10 mg|Corn rice|Cereals|Processed/Products
AP009|Seng (Zn)|0.3 mg|Corn rice|Cereals|Processed/Products
AP009|Beta-Karoten (Carotenes)|0 mcg|Corn rice|Cereals|Processed/Products
AP009|Karoten Total (Re)|0 mcg|Corn rice|Cereals|Processed/Products
AP009|Thiamin (Vit. B1)|0.30 mg|Corn rice|Cereals|Processed/Products
AP009|Riboflavin (Vit. B2)|0.02 mg|Corn rice|Cereals|Processed/Products
AP009|Niasin (Niacin)|0.1 mg|Corn rice|Cereals|Processed/Products
AP009|Vitamin C (Vit. C)|0 mg|Corn rice|Cereals|Processed/Products
AP010|Air (Water)|53.2 g|Corn, young, boiled|Cereals|Processed/Products
AP010|Energi (Energy)|142 Kal|Corn, young, boiled|Cereals|Processed/Products
AP010|Protein (Protein)|5.0 g|Corn, young, boiled|Cereals|Processed/Products
AP010|Lemak (Fat)|0.7 g|Corn, young, boiled|Cereals|Processed/Products
AP010|Karbohidrat (CHO)|30.3 g|Corn, young, boiled|Cereals|Processed/Products
AP010|Serat (Fibre)|0.8 g|Corn, young, boiled|Cereals|Processed/Products
AP010|Abu (ASH)|0.8 g|Corn, young, boiled|Cereals|Processed/Products
AP010|Kalsium (Ca)|5 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Fosfor (P)|105 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Besi (Fe)|0.8 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Natrium (Na)|5 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Kalium (K)|24.3 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Tembaga (Cu)|0.20 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Seng (Zn)|0.9 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Beta-Karoten (Carotenes)|145 mcg|Corn, young, boiled|Cereals|Processed/Products
AP010|Karoten Total (Re)|225 mcg|Corn, young, boiled|Cereals|Processed/Products
AP010|Thiamin (Vit. B1)|0.15 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Riboflavin (Vit. B2)|0.00 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Niasin (Niacin)|0.7 mg|Corn, young, boiled|Cereals|Processed/Products
AP010|Vitamin C (Vit. C)|0 mg|Corn, young, boiled|Cereals|Processed/Products
AP011|Air (Water)|12.0 g|Corn, yellow, flour|Cereals|Processed/Products
AP011|Energi (Energy)|355 Kal|Corn, yellow, flour|Cereals|Processed/Products
AP011|Protein (Protein)|9.2 g|Corn, yellow, flour|Cereals|Processed/Products
AP011|Lemak (Fat)|3.9 g|Corn, yellow, flour|Cereals|Processed/Products
AP011|Karbohidrat (CHO)|73.7 g|Corn, yellow, flour|Cereals|Processed/Products
AP011|Serat (Fibre)|7.2 g|Corn, yellow, flour|Cereals|Processed/Products
AP011|Abu (ASH)|1.2 g|Corn, yellow, flour|Cereals|Processed/Products
AP011|Kalsium (Ca)|10 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Fosfor (P)|256 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Besi (Fe)|2.4 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Natrium (Na)|11 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Kalium (K)|24.4 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Tembaga (Cu)|0.23 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Seng (Zn)|1.7 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Beta-Karoten (Carotenes)|0 mcg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Karoten Total (Re)|510 mcg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Thiamin (Vit. B1)|0.38 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Riboflavin (Vit. B2)|0.02 mg|Corn, yellow, flour|Cereals|Processed/Products
AP011|Niasin (Niacin)|0.3 mg|Corn, yellow, flour|Cereals|Processed/Products
AP012|Air (Water)|63.7 g|Corn, yellow, shelled, boiled|Cereals|Processed/Products
